Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
AKR1C8P	AKR1CL1	NR_027916	340811
AKR1D1	SRD5B1	NM_005989	6718
AKR1D1P1	SRD5BP1, AKR1D1P	NG_002683	80701
AKR1E2	AKRDC1, AKR1CL2	NM_031436	83592
AKR7A2		NM_003689	8574
AKR7A2P1			246182
AKR7A3		NM_012067	22977
AKR7L		NM_201252	246181
AKT1		NM_005163	207
AKT1S1		NM_032375	84335
AKT2		NM_001626	208
AKT3		NM_181690	10000
AKT3-IT1			100874263
AKTIP	FTS	NM_022476	64400
AKU			
ALAD		NM_001003945	210
ALAS1	ALAS3, ALAS		211
ALAS2	ASB	NM_000032	212
ALAS3			
ALB		NM_000477	213
ALCAM		NM_001627	214
ALD			
ALDH1A1	PUMB1, ALDH1		216
ALDH1A2			8854
ALDH1A3	ALDH6	NM_000693	220
ALDH1B1	ALDH5		219
ALDH1L1	FTHFD	NM_012190	10840
ALDH1L1-AS1			100874204
ALDH1L1-AS2			100862662
ALDH1L2		NM_001034173	160428
ALDH2		NM_000690	217
ALDH3A1	ALDH3	NM_000691	218
ALDH3A2	SLS, ALDH10		224
ALDH3B1	ALDH7	NM_000694	221
ALDH3B2	ALDH8	NM_000695	222
ALDH4A1	ALDH4		8659
ALDH5A1			7915
ALDH6A1	MMSDH		4329
ALDH7A1	ATQ1	NM_001182	501
ALDH7A1P1	ATQL1		541
ALDH7A1P2	ATQL2		542
ALDH7A1P3	ATQL3		543
ALDH7A1P4	ATQL4		544
ALDH8A1			64577
ALDH9A1	ALDH7, ALDH4, ALDH9		223
ALDH16A1		NM_153329	126133
ALDH18A1	GSAS, PYCS, SPG9	NM_002860	5832
ALDL1			
ALDOA		NM_000034	226
ALDOAP1			391538
ALDOAP2			228
ALDOB			229
ALDOC			230
ALDR1			
ALDRL2			
ALDRL5			
ALFN1			
ALG1		NM_019109	56052
ALG1L		NM_001015050	200810
ALG1L2		NM_001136152	644974
ALG1L3P			100132066
ALG1L5P			647415
ALG1L6P			339879
ALG1L7P			728263
ALG1L8P			645015
ALG1L9P			285407
ALG1L10P			106479037
ALG1L11P			106480789
ALG1L12P			100421097
ALG1L13P			106479038
ALG1L14P			100996649
ALG1L15P			730086
ALG2		NM_033087	85365
ALG3		NM_005787	10195
ALG3P1		NG_004807	442131
ALG5		NM_013338	29880
ALG6		NM_013339	29929
ALG8		NM_024079	79053
ALG9	DIBD1	NM_024740	79796
ALG9-IT1			100874303
ALG10		NM_032834	84920
ALG10B		NM_001013620	144245
ALG11		NM_001004127	440138
ALG12		NM_024105	79087
ALG13	GLT28D1, CXorf45	NM_018466	79868
ALG13-AS1			106478971
ALG14		NM_144988	199857
ALG14-AS1		NR_132786	101928098
ALK		NM_004304	238
ALKAL1	FAM150A	NM_207413	389658
ALKAL2	FAM150B	NM_001002919	285016
ALKBH1	ALKBH	NM_006020	8846
ALKBH2		NM_001001655	121642
ALKBH3		NM_139178	221120
ALKBH3-AS1			100507300
ALKBH4		NM_017621	54784
ALKBH5	OFOXD1	NM_017758	54890
ALKBH6		NM_032878	84964
ALKBH7	SPATA11	NM_032306	84266
ALKBH8		NM_138775	91801
ALLC			55821
ALMS1		NM_015120	7840
ALMS1-IT1		NR_046762	100874291
ALMS1P1	ALMS1L, ALMS1P	NR_003683	200420
ALOX5			240
ALOX5AP		NM_001629	241
ALOX12			239
ALOX12-AS1		NR_040089	100506713
ALOX12B			242
ALOX12P1	ALOX12P		243
ALOX12P2			245
ALOX15			246
ALOX15B			247
ALOX15P1	ALOX15P	NR_045985	100652883
ALOX15P2			642959
ALOXE3			59344
ALOXE3P1		NG_026215	100420216
ALPG	ALPPL2	NM_031313	251
ALPI		NM_001631	248
ALPK1		NM_025144	80216
ALPK2		NM_052947	115701
ALPK3		NM_020778	57538
ALPL	HOPS	NM_000478	249
ALPP		NM_001632	250
ALPPL1			
ALPPP			260330
ALS1			
ALS2	ALS2CR6	NM_020919	57679
ALS2CL		NM_147129	259173
ALS2CR1			
ALS2CR6			
ALS2CR14			
ALS2CR16	ALS2CR16		
ALS2CR17			
ALS2CR18			
ALS3			253
ALS5			
ALS6			
ALS7			406238
ALUNC			
ALX1	CART1	NM_006982	8092
ALX3	FND	NM_006492	257
ALX4	PFM2		60529
ALYREF	THOC4	NM_005782	10189
AMACR		NM_014324	23600
AMBN		NM_016519	258
AMBP	ITI, ITIL	NM_001633	259
AMBRA1		NM_017749	55626
AMCD1			
AMCD2B			
AMCN			261
AMD1			262
AMD1P1		NG_022164	100133024
AMD1P2	AMD2, AMD, AMDP1	NG_001073	263
AMD1P3			728931
AMD1P4			100129761
AMD2			
AMDHD1		NM_152435	144193
AMDHD2		NM_015944	51005
AMDM			
AMELX	AMG, AIH1	NM_001142	265
AMELY	AMGL	NM_001143	266
AMER1	FAM123B	NM_152424	139285
AMER2	FAM123A	NM_152704	219287
AMER3	FAM123C	NM_152698	205147
AMFR			267
AMH		NM_000479	268
AMHR2		NM_020547	269
AMIGO1		NM_020703	57463
AMIGO2		NM_181847	347902
AMIGO3		NM_198722	386724
AMLCR2			9163
AMMECR1			9949
AMMECR1-IT1			100874352
AMMECR1L		NM_031445	83607
AMMECR1LP1			100420921
AMN			81693
AMN1		NM_001113402	196394
AMOT		NM_133265	154796
AMOTL1		NM_130847	154810
AMOTL2		NM_016201	51421
AMPD1			270
AMPD2			271
AMPD3		NM_000480	272
AMPH		NM_001635	273
AMPHL			
AMT		NM_000481	275
AMTN		NM_212557	401138
AMY1A	AMY1	NM_001008221	276
AMY1B	AMY1	NM_001008218	277
AMY1C	AMY1	NM_001008219	278
AMY2A	AMY2	NM_000699	279
AMY2B	AMY2	NM_020978	280
AMYP1	AMY2P	NG_004750	281
AMZ1		NM_133463	155185
AMZ2		NM_016627	51321
AMZ2P1		NM_153032	201283
AMZ2P2			100421018
AN1			
AN2			
ANAPC1		NM_022662	64682
ANAPC1P1		NR_037931	100286979
ANAPC2		NM_013366	29882
ANAPC4		NM_013367	29945
ANAPC5			51433
ANAPC7		NM_016238	51434
ANAPC10		NM_014885	10393
ANAPC10P1	ANAPC10P	NG_007660	729198
ANAPC11		NM_016476	51529
ANAPC13		NM_015391	25847
ANAPC15	C11orf51	NM_014042	25906
ANAPC16	C10orf104	NM_173473	119504
ANCR			282
ANE1			
ANG		NM_001097577	283
ANGEL1	KIAA0759	NM_015305	23357
ANGEL2		NM_144567	90806
ANGPT1		NM_001146, NM_139290	284
ANGPT2		NM_001147	285
ANGPT3			
ANGPT4		NM_015985	51378
ANGPT5			
ANGPTL1	ANGPT3	NM_004673	9068
ANGPTL2		NM_012098	23452
ANGPTL3	ANGPT5	NM_014495	27329
ANGPTL4		NM_139314	51129
ANGPTL5		NM_178127	253935
ANGPTL6		NM_031917	83854
ANGPTL7		NM_021146	10218
ANGPTL8	C19orf80	NM_018687	55908
ANHX			647589
ANIB1			116833
ANIB2			449013
ANIB3			497657
ANIB4			724058
ANK1	ANK	NM_020475	286
ANK2	LQT4	NM_001148	287
ANK2-AS1			105377373
ANK3		NM_020987	288
ANK3-DT			105378320
ANKAR		NM_144708	150709
ANKDD1A		NM_182703	348094
ANKDD1B		NM_001276713	728780
ANKEF1	ANKRD5	NM_022096	63926
ANKFN1		NM_153228	162282
ANKFY1		NM_016376	51479
ANKH	CCAL2, CMDJ	NM_054027	56172
ANKHD1		NM_017747	54882
ANKHD1-EIF4EBP3		NM_020690	404734
ANKIB1			54467
ANKK1		NM_178510	255239
ANKL1			
ANKLE1	ANKRD41	NM_152363	126549
ANKLE2	KIAA0692		23141
ANKMY1		NM_017844	51281
ANKMY2		NM_020319	57037
ANKRA2		NM_023039	57763
ANKRD1		NM_014391	27063
ANKRD2			26287
ANKRD6			22881
ANKRD7		NM_001077708	56311
ANKRD9			122416
ANKRD10			55608
ANKRD10-IT1			100505494
ANKRD11		NM_013275	29123
ANKRD12		NM_015208	23253
ANKRD13A	ANKRD13	NM_033121	88455
ANKRD13B		NM_152345	124930
ANKRD13C		NM_030816	81573
ANKRD13D		NM_207354	338692
ANKRD14	ANKRD14		
ANKRD16		NM_019046	54522
ANKRD17		NM_032217	26057
ANKRD18A			253650
ANKRD18B		NM_001244752	441459
ANKRD18CP			101926917
ANKRD18DP		NR_003291	348840
ANKRD18EP			100131031
ANKRD19P	ANKRD19	NR_026868	138649
ANKRD20A1	ANKRD20A		84210
ANKRD20A2		NM_001012421	441430
ANKRD20A3			441425
ANKRD20A4		NM_001098805	728747
ANKRD20A5P	ANKRD20A5		440482
ANKRD20A6P		XM_001126719	728157
ANKRD20A7P			653436
ANKRD20A8P	ANKRD20B		729171
ANKRD20A9P			284232
ANKRD20A10P	ANKRD20A4P1		100421422
ANKRD20A11P	C21orf81		391267
ANKRD20A12P			100874392
ANKRD20A13P			100132733
ANKRD20A14P			100533719
ANKRD20A15P			100533720
ANKRD20A16P			100421427
ANKRD20A17P			100421363
ANKRD20A18P	C21orf126		391269
ANKRD20A19P			400110
ANKRD20A20P	CCDC29		728788
ANKRD20A21P			102723552
ANKRD22		NM_144590	118932
ANKRD23		NM_144994	200539
ANKRD24		NM_133475	170961
ANKRD26	THC2		22852
ANKRD26P1		NR_026556	124149
ANKRD26P2		NG_006568	646929
ANKRD26P3	LINC00414		100101938
ANKRD26P4			100873882
ANKRD27		NM_032139	84079
ANKRD28		NM_015199	23243
ANKRD29		NM_173505	147463
ANKRD30A		NM_052997	91074
ANKRD30B		NM_001145029	374860
ANKRD30BL	NCRNA00164, ANKRD30BP3	NM_001358416	554226
ANKRD30BP1	C21orf110, ANKRD30BP	NG_009612	642460
ANKRD30BP2	C21orf99	NR_026916	149992
ANKRD30BP3		NR_033891	338579
ANKRD31		NM_001164443	256006
ANKRD33	C12orf7	NM_182608	341405
ANKRD33B		NM_001164440	651746
ANKRD33B-AS1			100874247
ANKRD33B-IT1			
ANKRD34A	ANKRD34		284615
ANKRD34B		NM_001004441	340120
ANKRD34C		NM_001146341	390616
ANKRD34C-AS1		NR_038997	729911
ANKRD35		NM_144698	148741
ANKRD36			375248
ANKRD36B	KIAA1641	NM_025190	57730
ANKRD36BP1	ANKRD26L1, ANKRD36BL1	NR_026844	84832
ANKRD36BP2			645784
ANKRD36C		NM_001010914	400986
ANKRD36P1			100132420
ANKRD37		NM_181726	353322
ANKRD39		NM_016466	51239
ANKRD40		NM_052855	91369
ANKRD40CL	C17orf73, LINC00483	NM_001358683	55018
ANKRD42		NM_182603	338699
ANKRD44		NM_153697	91526
ANKRD44-AS1		NR_135584	101927596
ANKRD44-IT1			101927547
ANKRD45		NM_198493	339416
ANKRD46		NM_198401	157567
ANKRD49		NM_017704	54851
ANKRD50		NM_020337	57182
ANKRD52		NM_173595	283373
ANKRD53		NM_024933	79998
ANKRD54		NM_138797	129138
ANKRD54P1		NG_025432	100419962
ANKRD55		NM_024669	79722
ANKRD60	C20orf86	NM_001304369	140731
ANKRD61			100310846
ANKRD62		NM_001277333	342850
ANKRD62P1			107080639
ANKRD62P1-PARP4P3		NR_040115	23783
ANKRD63			100131244
ANKRD65			441869
ANKRD66		NM_001162435	100287718
ANKS1A	ANKS1	NM_015245	23294
ANKS1B		NM_020140	56899
ANKS3		NM_133450	124401
ANKS4B		NM_145865	257629
ANKS6	SAMD6, ANKRD14	NM_173551	203286
ANKUB1	C3orf16	NM_001144960	389161
ANKZF1		NM_018089	55139
ANLN		NM_018685	54443
ANO1	ORAOV2, TMEM16A	NM_018043	55107
ANO1-AS1			100873981
ANO2	C12orf3, TMEM16B	NM_020373	57101
ANO3	C11orf25, TMEM16C	NM_031418	63982
ANO3-AS1		NR_132968	105376599
ANO4	TMEM16D	NM_178826	121601
ANO5	TMEM16E, LGMD2L	NM_213599	203859
ANO6	TMEM16F	NM_001025356	196527
ANO7	PCANAP5, TMEM16G	NM_001001891	50636
ANO7L1	TMEM16M, C1orf224, ANO7P1		101927546
ANO8	KIAA1623, TMEM16H	NM_020959	57719
ANO9	TP53I5, TMEM16J	NM_001012302	338440
ANO10	TMEM16K	NM_018075	55129
ANOP1			289
ANOS1	KAL, ADMLX, KAL1	NM_000216	3730
ANOS2P	ADMLY, KALP	NG_001153	3734
ANP			
ANP32A	C15orf1		8125
ANP32A-IT1	C15orf28, NCRNA00321	NR_026808	80035
ANP32AP1		NR_003144	723972
ANP32B		NM_006401	10541
ANP32BP1			646791
ANP32BP2			100130708
ANP32BP3			100652899
ANP32C		NM_012403	23520
ANP32D		NM_012404	23519
ANP32E		NM_030920	81611
ANPEP	CD13, PEPN		290
ANPRA			
ANPRB			
ANPRC			
ANT1			
ANT2			
ANT3			
ANTKMT	C16orf24, FAM173A	NM_023933	65990
ANTP2			
ANTP3			
ANTP4			
ANTXR1		NM_032208	84168
ANTXR2		NM_058172	118429
ANTXRL		NM_001278688	195977
ANTXRLP1			100996567
ANX1			
ANX2			
ANX2L1			
ANX2L2			
ANX2L3			
ANX2L4			
ANX2LG			
ANX2P1			
ANX2P2			
ANX2P3			
ANX3			
ANX4			
ANX5			
ANX6			
ANX7			
ANX8			
ANX11			
ANX13			
ANX31			
ANXA1	ANX1, LPC1	NM_000700	301
ANXA2	ANX2, ANX2L4, CAL1H, LPC2D	NM_001002857	302
ANXA2P1	LPC2A, ANX2P1, ANX2L1	NR_001562	303
ANXA2P2	ANX2P2, ANX2L2, LPC2B		304
ANXA2P3	ANX2P3, ANX2L3, LPC2C	NR_001446	305
ANXA2R	C5orf39	NM_001014279	389289
ANXA3	ANX3	NM_005139	306
ANXA4	ANX4	NM_001153	307
ANXA5	ENX2, ANX5	NM_001154	308
ANXA6	ANX6	NM_001155	309
ANXA7	ANX7	NM_001156	310
ANXA8	ANX8	NM_001040084	653145
ANXA8L1	ANXA8L2		728113
ANXA8L2			
ANXA9	ANX31	NM_003568	8416
ANXA10		NM_007193	11199
ANXA11	ANX11	NM_145869	311
ANXA13	ANX13	NM_004306	312
AOAH		NM_001637	313
AOAH-IT1		NR_046764	100874264
AOC1	ABP1	NM_001091	26
AOC2		NM_009590, NM_001158	314
AOC3		NM_003734	8639
AOC4P		NR_002773	90586
AOM			
AOP1			
AOPEP	C9orf3	NM_032823	84909
AOX1		NM_001159	316
AOX2P	AOX2	NR_001557	344454
AOX3P			107126360
AOX3P-AOX2P			107161151
AP1AR	C4orf16	NM_018569	55435
AP1B1	ADTB1, CLAPB2	NM_001127	162
AP1B1P1	ADTB1L1	NG_002625	23782
AP1B1P2	ADTB1L2	NG_002624	23781
AP1G1	CLAPG1, ADTG		164
AP1G2		NM_003917	8906
AP1M1		NM_032493	8907
AP1M2			10053
AP1S1	CLAPS1, EKV3	NM_001283	1174
AP1S2	MRX59, MRXS5, PGS	NM_003916	8905
AP1S2P1			106480305
AP1S3			130340
AP2A1	CLAPA1, ADTAA		160
AP2A2	CLAPA2, ADTAB	NM_012305	161
AP2B1	ADTB2, CLAPB1		163
AP2M1	CLAPM1	NM_004068	1173
AP2S1	CLAPS2, HHC3		1175
AP3B1			8546
AP3B2			8120
AP3D1			8943
AP3M1			26985
AP3M2			10947
AP3S1	CLAPS3	NM_001364119	1176
AP3S2			10239
AP4B1	SPG47	NM_006594	10717
AP4B1-AS1		NR_037864	100287722
AP4E1			23431
AP4M1		NM_004722	9179
AP4S1			11154
AP5B1		NM_138368	91056
AP5M1	C14orf108, MUDENG	NM_018229	55745
AP5S1	C20orf29	NM_018347	55317
AP5Z1	KIAA0415		9907
APAF1		NM_181861.1	317
APAH1			
APBA1	MINT1	NM_001163	320
APBA2	X11L, MINT2	NM_005503	321
APBA3			9546
APBB1	RIR	NM_001164	322
APBB1IP		NM_019043	54518
APBB2		NM_173075	323
APBB3		NM_006051	10307
APC		NM_000038	324
APC2		NM_005883	10297
APCDD1		NM_153000	147495
APCDD1L		NM_153360	164284
APCDD1L-DT	APCDD1L-AS1	NR_034147	149773
APCS		NM_001639	325
APECED			
APEH	D3F15S2, DNF15S2, D3S48E		327
APELA			100506013
APEX1	APEX	NM_001641	328
APEX2			27301
APH1A		NM_016022	51107
APH1B		NM_031301	83464
API1			
API2			
API3			
API4			
API5		NM_006595	8539
API5P1	API5L1	NG_009200	642812
API5P2		NG_009199	728664
API6			
APIP		NM_015957	51074
APLF	C2orf13	NM_173545	200558
APLN		NM_017413	8862
APLNR	AGTRL1	NM_005161	187
APLP1		NM_001024807	333
APLP2	APPL2	NM_001642	334
APMAP	C20orf3	NM_020531	57136
APNH			
APOA1		NM_000039	335
APOA1-AS		NR_126362	104326055
APOA2		NM_001643	336
APOA4		NM_000482	337
APOA5			116519
APOAL			
APOB			338
APOBEC1		NM_001644	339
APOBEC2		NM_006789	10930
APOBEC3A		NM_145699	200315
APOBEC3A_B		NM_001193289	100913187
APOBEC3AP1			105377532
APOBEC3B		NM_004900	9582
APOBEC3B-AS1			100874530
APOBEC3C		NM_014508	27350
APOBEC3D	APOBEC3E	NM_152426	140564
APOBEC3E	APOBEC3E		
APOBEC3F		NM_145298	200316
APOBEC3G		NM_021822	60489
APOBEC3H		NM_181773	164668
APOBEC4	C1orf169	NM_203454	403314
APOBER1			
APOBR		NM_182804	55911
APOC1			341
APOC1P1		NR_028412	342
APOC2		NM_000483	344
APOC3		NM_000040	345
APOC4		NM_001646	346
APOC4-APOC2		NR_037932	100533990
APOD		NM_001647	347
APOE	AD2	NM_000041	348
APOEL1			
APOF			319
APOH	B2G1	NM_000042	350
APOJ			
APOL1	APOL	NM_145343	8542
APOL2		NM_145637	23780
APOL3		NM_145641	80833
APOL4		NM_145660	80832
APOL5		NM_030642	80831
APOL6		NM_030641	80830
APOLD1		NM_030817	81575
APOM		NM_019101	55937
APONP			100419033
APOO	FAM121B	NM_024122	79135
APOOL	CXorf33, FAM121A	NM_198450	139322
APOOP1			100286948
APOOP2			100129005
APOOP3			100131528
APOOP4			100128725
APOOP5			644649
APP	AD1	NM_000484	351
APPBP2		NM_006380	10513
APPL	APPL1		
APPL1		NM_012096	26060
APPL2		NM_018171	55198
APPL2			
APR			
APRT		NM_000485	353
APS			
APT1			
APT1LG1			
APTR	RSBN1L-AS1	NR_038361	100505854
APTX	AXA1	NM_017692	54840
APY			
AQP1	CO	NM_000385	358
AQP2		NM_000486	359
AQP2L			
AQP3		NM_004925	360
AQP4		NM_001650, NM_004028	361
AQP4-AS1	C18orf16, CHST9-AS1		147429
AQP5		NM_001651	362
AQP6	AQP2L	NM_001652, NM_053286	363
AQP7	AQP7L	NM_001170	364
AQP7L			
AQP7P1		XM_372110	375719
AQP7P2		XM_497059	389756
AQP7P3		NG_005142	441432
AQP7P4		NG_021659	100132938
AQP7P5			102724655
AQP8		NM_001169	343
AQP9		NM_020980	366
AQP10		NM_080429	89872
AQP11		NM_173039	282679
AQP12A	AQP12	NM_198998	375318
AQP12B	INSSA3		653437
AQR		NM_014691	9716
AR	DHTR, SBMA	NM_000044	367
ARA			
ARAF	ARAF1		369
ARAFP1			100421741
ARAFP2	ARAF2, ARAFPS, ARAF2P	NG_008381	644000
ARAFP3	ARAF3P	NG_003157	285893
ARAP1	CENTD2	NM_001040118	116985
ARAP1-AS1			100874075
ARAP1-AS2			100506020
ARAP2	CENTD1	NM_015230	116984
ARAP3	CENTD3	NM_022481	64411
ARC			23237
ARCN1	COPD		372
ARCN2			
AREG	SDGF, AREGB		374
AREGB			
AREL1	KIAA0317	NM_014821	9870
ARF1		NM_001024227	375
ARF1P1		XM_498225	442334
ARF1P2			100420012
ARF1P3			442396
ARF2	ARF2		
ARF2P		NG_051340	108489980
ARF3		NM_001659	377
ARF4	ARF2	NM_001660	378
ARF4-AS1			106144532
ARF4P1	ARF4P	NG_001075	380
ARF4P2		NG_001031	170485
ARF4P3		XM_372496	390423
ARF4P4			100129023
ARF4P5			100316867
ARF5		NM_001662	381
ARF6		NM_001663	382
ARFGAP1	ARF1GAP	NM_018209	55738
ARFGAP2	ZNF289	NM_032389	84364
ARFGAP3	ARFGAP1	NM_014570	26286
ARFGEF1		NM_006421	10565
ARFGEF2		NM_006420	10564
ARFGEF3	C6orf92, KIAA1244	NM_020340	57221
ARFIP1		NM_014447	27236
ARFIP2		NM_012402	23647
ARFRP1			10139
ARG1			383
ARG2		NM_001172	384
ARGFX		NM_001012659	503582
ARGFXP1		NG_004853	503583
ARGFXP2		NR_002222	503640
ARGLU1		NM_018011	55082
ARH6			
ARH12			
ARHGAP1		NM_004308	392
ARHGAP4		NM_001666	393
ARHGAP5	GFI2	NM_001030055	394
ARHGAP5-AS1	C14orf128	NR_027263	84837
ARHGAP6		NM_013427	395
ARHGAP8		NM_017701	23779
ARHGAP9		NM_032496	64333
ARHGAP10		NM_024605	79658
ARHGAP11A		NM_014783	9824
ARHGAP11B	FAM7B1	NM_001039841	89839
ARHGAP12			94134
ARHGAP15		NM_018460	55843
ARHGAP15-AS1			105373654
ARHGAP16P	ARHGAP15P	NG_002492	319102
ARHGAP17		NM_018054	55114
ARHGAP18		NM_033515	93663
ARHGAP19		NM_032900	84986
ARHGAP19-SLIT1			100533184
ARHGAP20		NM_020809	57569
ARHGAP21		NM_020824	57584
ARHGAP22		NM_021226	58504
ARHGAP22-IT1			100689073
ARHGAP23		NM_001199417	57636
ARHGAP23P1			102577425
ARHGAP24		NM_031305	83478
ARHGAP25		NM_014882	9938
ARHGAP26		NM_015071	23092
ARHGAP26-AS1			100874239
ARHGAP26-IT1			100874372
ARHGAP27	SH3D20	NM_199282	201176
ARHGAP27P1		NR_027487	146880
ARHGAP27P1-BPTFP1-KPNA2P3		NR_026899	109286553
ARHGAP27P2			440461
ARHGAP28		NM_001010000	79822
ARHGAP29		NM_004815	9411
ARHGAP29-AS1			107985092
ARHGAP30		NM_181720	257106
ARHGAP31			57514
ARHGAP31-AS1			100874246
ARHGAP32		NM_014715	9743
ARHGAP33	SNX26	NM_052948	115703
ARHGAP35	GRLF1	NM_004491	2909
ARHGAP36		NM_144967	158763
ARHGAP39			80728
ARHGAP40	C20orf95	NM_001164431	343578
ARHGAP42	TMEM133	NM_152432	143872
ARHGAP42P1			100887075
ARHGAP42P2			100130693
ARHGAP42P3	OPHN1P1		266698
ARHGAP42P4			254398
ARHGAP42P5			100128514
ARHGAP44		NM_014859	9912
ARHGAP45	HMHA1		23526
ARHGDIA	GDIA1	NM_004309	396
ARHGDIB	RAP1GN1, GDIA2, GDID4	NM_001175	397
ARHGDIG			398
ARHGEF1		NM_199002	9138
ARHGEF2		NM_004723	9181
ARHGEF2-AS1			107985210
ARHGEF3		NM_019555	50650
ARHGEF3-AS1			100874200
ARHGEF4			50649
ARHGEF5		NM_005435	7984
ARHGEF6	MRX46	NM_004840	9459
ARHGEF7		NM_001113511	8874
ARHGEF7-AS1			100874226
ARHGEF7-AS2			100874238
ARHGEF7-IT1			100874371
ARHGEF9			23229
ARHGEF9-IT1			100874355
ARHGEF10			9639
ARHGEF10L		NM_018125	55160
ARHGEF11		NM_198236	9826
ARHGEF12		NM_015313	23365
ARHGEF15		NM_173728	22899
ARHGEF16		NM_014448	27237
ARHGEF17		NM_014786	9828
ARHGEF18		NM_015318	23370
ARHGEF19		NM_153213	128272
ARHGEF19-AS1			100874233
ARHGEF25		NM_133483	115557
ARHGEF26		NM_015595	26084
ARHGEF26-AS1			100507524
ARHGEF28			64283
ARHGEF33		NM_001145451	100271715
ARHGEF34P			728377
ARHGEF35	ARHGEF5L	NM_001003702	445328
ARHGEF35-AS1		NR_126022	101928605
ARHGEF37		NM_001001669	389337
ARHGEF38		NM_017700	54848
ARHGEF38-IT1			100874374
ARHGEF39	C9orf100	NM_032818	84904
ARHGEF40			55701
ARID1A	C1orf4, SMARCF1	NM_139135	8289
ARID1B		NM_020732	57492
ARID2		NM_152641	196528
ARID3A	DRIL1	NM_005224	1820
ARID3B		NM_006465	10620
ARID3C		NM_001017363	138715
ARID4A	RBBP1	NM_023001	5926
ARID4B	RBP1L1	NM_016374	51742
ARID4B-IT1			
ARID5A		NM_212481	10865
ARID5B		NM_032199	84159
ARIH1		NM_005744	25820
ARIH2		NM_006321	10425
ARIH2OS	C3orf71	NM_001123040	646450
ARIH2P1	ARIH2P	XR_016965	390844
ARL1		NM_001177	400
ARL2		NM_001667	402
ARL2-SNX15			100528018
ARL2BP	RP66	NM_012106	23568
ARL2BPP1			399666
ARL2BPP2	ARL2BPL		643898
ARL2BPP3		NG_022943	646879
ARL2BPP4			100130265
ARL2BPP5			100874420
ARL2BPP6			100874421
ARL2BPP7			100131629
ARL2BPP8			100131784
ARL2BPP9		NG_026204	100421675
ARL2BPP10			100874449
ARL3		NM_004311	403
ARL4A	ARL4	NM_005738	10124
ARL4AP1	ARL4B, ARL4P	XM_370560	387684
ARL4AP2	ARL4P2	NG_005394	152709
ARL4AP3			107984161
ARL4AP4			100420471
ARL4AP5			101928788
ARL4C	ARL7	NM_005737	10123
ARL4D	ARF4L	NM_001661	379
ARL5A	ARL5	NM_012097	26225
ARL5AP1			641382
ARL5AP2			641380
ARL5AP3			106480778
ARL5AP4			641379
ARL5B	ARL8	NM_178815	221079
ARL5B-AS1			
ARL5C	ARL12	NM_001143968	390790
ARL6	BBS3	NM_032146	84100
ARL6IP1	ARL6IP	NM_015161	23204
ARL6IP1P1	ARL6IPP1	NG_022838	100288702
ARL6IP1P2		NG_022169	646348
ARL6IP1P3		NG_021793	729790
ARL6IP4		NM_018694	51329
ARL6IP5		NM_006407	10550
ARL6IP6		NM_152522	151188
ARL8A	ARL10B	NM_138795	127829
ARL8B	ARL10C	NM_018184	55207
ARL9		NM_206919	132946
ARL10	ARL10A	NM_173664	285598
ARL11		NM_138450	115761
ARL13A	ARL13	NM_001162491	392509
ARL13B	ARL2L1	NM_182896	200894
ARL14	ARF7	NM_025047	80117
ARL14EP	C11orf46	NM_152316	120534
ARL14EPL		NM_001195581	644100
ARL15	ARFRP2	NM_019087	54622
ARL16		NM_001040025	339231
ARL17A	ARF1P2, ARL17P1	NM_016632	51326
ARL17B	ARL17	NM_001039083	100506084
ARLNC1	LINC02170	NR_131947	100996425
ARMC1		NM_018120	55156
ARMC2		NM_032131	84071
ARMC2-AS1			101929716
ARMC3		NM_173081	219681
ARMC4		NM_018076	55130
ARMC4P1			101060171
ARMC5		NM_024742	79798
ARMC6		NM_033415	93436
ARMC7		NM_024585	79637
ARMC8		NM_015396	25852
ARMC8P1		NG_028720	100130871
ARMC9		NM_025139	80210
ARMC10		NM_031905	83787
ARMC10P1		NG_012229	389137
ARMC12	C6orf81	NM_145028	221481
ARMCX1		NM_016608	51309
ARMCX2		NM_014782	9823
ARMCX3		NM_016607	51566
ARMCX3-AS1			100128574
ARMCX4	CXorf35	NM_001256155	100131755
ARMCX5		NM_022838	64860
ARMCX5-GPRASP2		NM_001199818.1	100528062
ARMCX6		NM_019007	54470
ARMCX7P			653354
ARMD1	ARMD1		
ARMH1	NCRNA00082, C1orf228	NM_001145636	339541
ARMH2	C6orf229	NM_001282492	101928603
ARMH3	C10orf76	NM_024541	79591
ARMH4	C14orf37	NM_001001872	145407
ARMS2			387715
ARMT1	C6orf211	NM_024573	79624
ARNILA			
ARNT			405
ARNT2			9915
ARNTL		NM_001178	406
ARNTL2		NM_020183	56938
ARNTL2-AS1			101928646
ARP1			
ARPC1A		NM_006409	10552
ARPC1B		NM_005720	10095
ARPC2		NM_005731	10109
ARPC3			10094
ARPC3P1	ARPC3B	NG_002363	87171
ARPC3P2		NG_022826	391160
ARPC3P3			729494
ARPC3P4		NG_024384	100421973
ARPC3P5		NG_022345	441131
ARPC4		NM_001024959	10093
ARPC4-TTLL3		NM_001198793.1	100526693
ARPC5		NM_005717	10092
ARPC5L		NM_030978	81873
ARPIN	C15orf38	NM_182616	348110
ARPIN-AP3S2	C15orf38-AP3S2	NM_001199058.1	100526783
